id,dutch_text,label,text
116725,Ja k denk dat wij wel eerder klaar zijn. Was zondag ook,0,"Yeah, I think we'll be done sooner."
116726,Ik heb trouwens ook een samenvatting van dat boekje,0,"By the way, I also have a summary of that booklet."
116727,Ik kom speciaal voor jou supetvroeg naar het oosten!,1,I'm coming east early just for you!
116728,"Maar zelfs als ik kan blijven slapen, dan moet ik de volgende dag toch de trein om zeven uur hebben omdat ik moet werken ",1,"But even if I can stay the night, then the next day I have to have the train at seven o'clock because I have to work."
116729,Ligt eraan wanneer je m nodig hebt,0,Depends when you need m
116730,Wilde plannen dit weekend?,0,Wanted plans this weekend?
116731,Lol heb al [REMOVED] maanden niet gestofzuigd,0,Haven't vacuumed fun for months.
116732,Op de officiële site (tenminste dat denk ik dat het is) staat eigenlijk op de meeste dagen beperkt beschikbaar.,0,On the official site (at least I think it is) is actually on most days limited available.
116733,Tot morgenavond he (:,1,See you tomorrow evening (:
116734,Waar ben je dan,0,Where are you?
116735,"Zet [REMOVED] februari vast in je agenda, waarschijnlijk vier ik het dan",1,"Capture [REMOVED] February in your calendar, probably I'll celebrate"
116736,Je kunt natuurlijk ook twee edities met elkaar vergelijken!,0,Of course you can also compare two editions!
116737,[REMOVED] ja maar er zijn alleen maae zitplaatsen dus nee,0,"[REMOVED] Yes, but there are only maae seats so no"
116738,He gurl ik kom toch niet eten vanavond denk ik sorry,1,Hey gurl I'm not coming to dinner tonight I guess I'm sorry
116739,"Haha ja die heb ik allemaal nu ingeleverd, heb alleen woensdag nog een tentamen en dan ga ik vanaf maandag aan mijn bachelorwerkstuk beginnen waaah...!",0,"Haha yes I've turned them all in now, only have a test on Wednesday and then from Monday I'm going to start my bachelor piece waaah...!"
116740,Maarre hoe laat is laat eten dan? :p,1,But what time is late food then?
116741,Is goed stuur ma gewoon naar hen!,0,Is okay just send mom to them!
116742,Nou ja we moeten vanavond maar even een beetje agenda's naast elkaar leggen zodat we een beetje weten hoe en wat van elkaar,0,"Well, we're just gonna have to put a little agendas next to each other tonight so we know a little bit about how and what of each other."
116743,Weet niet waar zij werkte,0,Don't know where she worked
116744,Cool! Ik zeg dat we erbij zijn (scoren we hopelijk meteen punten voor de dag erna),1,Cool! I say we're there (hopefully we score points for the day after)
116745,Waarom ga je niet naar de dromennacht??😭😭,0,Why don't you go to the dream night??
116746,Zal morgen even kijken,0,Will have a look tomorrow
116747,Ik zit dit weekend enorm in de stress over een nota en een tentamen dus nee :(,0,"I'm in a lot of stress over a note and an exam this weekend, so no:("
116748,"Hey [REMOVED]. Waar hadden jullie die eerste tv gehaald, voordat ie werd omgeruild?",0,Hey [REMOVED]. Where did you guys get that first TV before it was switched?
116749,Hoelaat vliegen we,0,What time do we fly
116750,Ik had je vraag over chips nog niet gezien :p,0,I hadn't seen your question about chips yet:p
116751,Je kan toch zien als je bericht aankomt dat je dus internet hebt 😜,0,You can see when your message arrives that you have internet
116752,Ja:S . Had ze het belooft dan of vroeg je het net?,0,Yes:S. Did she promise or did you just ask?
116753,Duurt ook nog wel eventjes,0,It's gonna take a while.
116754,"Heb ik ook niet, maar zal toch die kant op moeten komen hea. Moet morgen zeven uur beginnen",0,"I don't, but I'm gonna have to come that way anyway."
116755,"Het is hier best prima weer enzo, mam en pap vragen af en toe (lees: meerdere keren per dag) of ik nog iets van je gehoord heb enzo ;p hoe is t bij jou? Doe je foto's idd maar gewoon whappen, kunnen vattie und muttie ook meegenieten via mn telefoon heujj! ;p haha, wat ga je vandaag allemaal doen? Weer al beter dan maandag? Veel plezier nog! Xxxx",0,"It's quite fine weather and so on, Mom and Dad ask occasionally (read: several times a day) if I've heard from you and so on ;p how is it with you? Do your photos just whappen, can vattie und muttie also take part on my phone heujj! ;p haha, what are you going to do today? Again better than Monday? Enjoy! Xxxx"
116756,Vroeg me af wat jouw plannen voor vanavond zijn,0,Wondering what your plans are for tonight.
116757,Of iig een aantal dagen! ,0,Or a few days!
116758,Sjannieeee! Gaan wij vrijdag nou afspreken? :),1,Sjannieee! Are we going to meet Friday?:)
116759,Zullen we morgen minecrfren,0,We'll minerrf tomorrow.
116760,We hadden toch vanavond afgesproken?,1,I thought we were supposed to meet tonight.
116761,Oh ja tuurlijk,0,"Oh, yeah, sure."
116762,Loodgieterman is er woensdag om [REMOVED],0,Plumberman is on Wednesday at [REMOVED]
116763,Vandaag moest ik mee naar een klant,0,Today I had to come to a customer with me
116764,Maar ik zou ook het totaal aantal waarnemingen neerzetten bij n denk ik,0,But I would also put the total number of observations at n I think
116765,En daarna bleef hij praten,0,And then he kept talking.
116766,zes uur werk,0,six hours of work
116767,Hoe laat,0,What time
116769,"Nope ben al thuis, zou je de reader misschien woensdag mee kunnen nemen als we in [REMOVED] moeten zijn?",1,"Nope's already home, could you take the reader with you on Wednesday if we're supposed to be in [REMOVED]?"
116770,Ooh tuurlijk [REMOVED],0,Ooh of course [REMOVED]
116771," Heb een frituurpan gekregen,  gaan zo frituren :) ",0,"Got a frying pan, go frying like this:)"
116772, Uhmm nu laatste pakket afgeven en dan nog.terug ,1,Uhmm now drop off last package and then back.
116773, Waarom wist je dan nie wa we moesten leren ,0,Then why didn't you know we had to learn?
116774,heb er vandaag ook echt tyfuszin in lol,0,Have real typhoid fun today
116775,Komende zaterdag wil je weer dat ik kom? vier uur gaat niet lukken. Smiddags kan ik wel en anders zondag,1,Next Saturday you want me to come again? Four o'clock isn't gonna work. I can do it in the afternoon and otherwise Sunday
116776,Strand?,0,Beach?
116777,Want misschien heb ik hem dan in de bioscoop gezien...,0,'Cause maybe I've seen him at the movies...
116778,"Haha, was het misschien ook wel :p maar het was leuk om te zien!",0,"Haha, it might have been:p but it was nice to see!"
116779, En dan twee uur samenvatten ,0,And then sum it up for two hours.
116780,Mijn telefoon had gister alle fotos op deze na verwijderd (en wapp fotos gelukkig ook niet) maar dus dacht ik stuur ik ze gelijk kunnen jullie ook meegenieten,0,My phone had deleted all the photos yesterday after this (and wapp photos fortunately neither) but so I thought I'd send them right away you can also enjoy
116781,Viel te proberen... Moet nog [REMOVED] kaartjes zien kwijt te raken :p,0,Failed to try... Must still [REMOVED] lose tickets:p
116782,Maandag heb ik loon,0,Monday I've got a paycheck.
116783, Ja anderhalf uur gepraat ,0,"Yeah, an hour and a half talk."
116784, Jaa dan weer lekker samen slapen 😊😊 ,0,"Yeah, well, then sleep together again."
116785,Lijkt me prima tijd ;) waar meeten we? Bij jou?,1,Seems like a good time;) where do we measure? With you?
116786,"Hee [REMOVED], ik hoor niet echt iets van m'n bestuursgenootjes dus misschien weet jij er iets over... Hoe staat het met de voorbereidingen voor het kamp?",0,"Hey [REMOVED], I don't really hear anything from my boardmates so maybe you know something about it... What about the preparations for the camp?"
116787,Mijn moeder is jarig dus heb de hele dag geen tijd gehad,0,"It's my mom's birthday, so I haven't had all day."
116788,Alleen deze week hamster week,0,Only this week hamster week
116789,*vroeg,0,*early
116790,Ja ik had het gezien. Het staat er al een tijdje op.,0,"Yeah, I saw it, it's been on for a while."
