id,text,label
116725,Ja k denk dat wij wel eerder klaar zijn. Was zondag ook,0
116726,Ik heb trouwens ook een samenvatting van dat boekje,0
116727,Ik kom speciaal voor jou supetvroeg naar het oosten!,1
116728,"Maar zelfs als ik kan blijven slapen, dan moet ik de volgende dag toch de trein om vijf uur hebben omdat ik moet werken ",1
116729,Ligt eraan wanneer je m nodig hebt,0
116730,Wilde plannen dit weekend?,0
116731,Lol heb al [REMOVED] maanden niet gestofzuigd,0
116732,Op de officiële site (tenminste dat denk ik dat het is) staat eigenlijk op de meeste dagen beperkt beschikbaar.,0
116733,Tot morgenavond he (:,1
116734,Waar ben je dan,0
116735,"Zet [REMOVED] februari vast in je agenda, waarschijnlijk vier ik het dan",1
116736,Je kunt natuurlijk ook twee edities met elkaar vergelijken!,0
116737,[REMOVED] ja maar er zijn alleen maae zitplaatsen dus nee,0
116738,He gurl ik kom toch niet eten vanavond denk ik sorry,1
116739,"Haha ja die heb ik allemaal nu ingeleverd, heb alleen woensdag nog een tentamen en dan ga ik vanaf maandag aan mijn bachelorwerkstuk beginnen waaah...!",0
116740,Maarre hoe laat is laat eten dan? :p,1
116741,Is goed stuur ma gewoon naar hen!,0
116742,Nou ja we moeten vanavond maar even een beetje agenda's naast elkaar leggen zodat we een beetje weten hoe en wat van elkaar,0
116743,Weet niet waar zij werkte,0
116744,Cool! Ik zeg dat we erbij zijn (scoren we hopelijk meteen punten voor de dag erna),1
116745,Waarom ga je niet naar de dromennacht??😭😭,0
116746,Zal morgen even kijken,0
116747,Ik zit dit weekend enorm in de stress over een nota en een tentamen dus nee :(,0
116748,"Hey [REMOVED]. Waar hadden jullie die eerste tv gehaald, voordat ie werd omgeruild?",0
116749,Hoelaat vliegen we,0
116750,Ik had je vraag over chips nog niet gezien :p,0
116751,Je kan toch zien als je bericht aankomt dat je dus internet hebt 😜,0
116752,Ja:S . Had ze het belooft dan of vroeg je het net?,0
116753,Duurt ook nog wel eventjes,0
116754,"Heb ik ook niet, maar zal toch die kant op moeten komen hea. Moet morgen negen uur beginnen",0
116755,"Het is hier best prima weer enzo, mam en pap vragen af en toe (lees: meerdere keren per dag) of ik nog iets van je gehoord heb enzo ;p hoe is t bij jou? Doe je foto's idd maar gewoon whappen, kunnen vattie und muttie ook meegenieten via mn telefoon heujj! ;p haha, wat ga je vandaag allemaal doen? Weer al beter dan maandag? Veel plezier nog! Xxxx",0
116756,Vroeg me af wat jouw plannen voor vanavond zijn,0
116757,Of iig een aantal dagen! ,0
116758,Sjannieeee! Gaan wij vrijdag nou afspreken? :),1
116759,Zullen we morgen minecrfren,0
116760,We hadden toch vanavond afgesproken?,1
116761,Oh ja tuurlijk,0
116762,Loodgieterman is er woensdag om [REMOVED],0
116763,Vandaag moest ik mee naar een klant,0
116764,Maar ik zou ook het totaal aantal waarnemingen neerzetten bij n denk ik,0
116765,En daarna bleef hij praten,0
116766,twee uur werk,0
116767,Hoe laat,0
116769,"Nope ben al thuis, zou je de reader misschien woensdag mee kunnen nemen als we in [REMOVED] moeten zijn?",1
116770,Ooh tuurlijk [REMOVED],0
116771," Heb een frituurpan gekregen,  gaan zo frituren :) ",0
116772, Uhmm nu laatste pakket afgeven en dan nog.terug ,1
116773, Waarom wist je dan nie wa we moesten leren ,0
116774,heb er vandaag ook echt tyfuszin in lol,0
116775,Komende zaterdag wil je weer dat ik kom? vijf uur gaat niet lukken. Smiddags kan ik wel en anders zondag,1
116776,Strand?,0
116777,Want misschien heb ik hem dan in de bioscoop gezien...,0
116778,"Haha, was het misschien ook wel :p maar het was leuk om te zien!",0
116779, En dan twee uur samenvatten ,0
116780,Mijn telefoon had gister alle fotos op deze na verwijderd (en wapp fotos gelukkig ook niet) maar dus dacht ik stuur ik ze gelijk kunnen jullie ook meegenieten,0
116781,Viel te proberen... Moet nog [REMOVED] kaartjes zien kwijt te raken :p,0
116782,Maandag heb ik loon,0
116783, Ja anderhalf uur gepraat ,0
116784, Jaa dan weer lekker samen slapen 😊😊 ,0
116785,Lijkt me prima tijd ;) waar meeten we? Bij jou?,1
116786,"Hee [REMOVED], ik hoor niet echt iets van m'n bestuursgenootjes dus misschien weet jij er iets over... Hoe staat het met de voorbereidingen voor het kamp?",0
116787,Mijn moeder is jarig dus heb de hele dag geen tijd gehad,0
116788,Alleen deze week hamster week,0
116789,*vroeg,0
116790,Ja ik had het gezien. Het staat er al een tijdje op.,0
116791,"Ik had vandaag dus die afspraak bij het medewerkersplein. Dus nu heb ik een pasje en een acount enzo, maar nu kan ik nog niet in epic, dus ik kan nog steeds niet met het onderzoek beginnen 😕",0
116792,Wanneer krijg je nou je nieuwe telefoon,0
116793, Morgen niet??? ,0
116794, Hoelaat ben je thuis? ,0
116795, Heb je wel een babyphone staan bij je kwartel 😳? ,0
116796,Laat maar :p,0
116797,V neemt morgen trouwens dr vriendje mee naar [REMOVED] Potter,1
116798,Oke dan denken we aan elkaar morgen haha,0
116799,"Hee [REMOVED], [REMOVED] en ik hebben voor jou een folder van taalwetenschap (met alle mogelijke minoren daarin) en een folder van journalistiek. [REMOVED] neemt ze maandag voor je mee!",1
116800, Uhhm laat ik zo ff weten. Weet het niet precies ,0
116801, Vond je het vervelend over wat ik gisteren vroeg? ,0
116802,Zullen we dan in [REMOVED] afspreken?,1
116803,Hee [REMOVED]! Is om kwart voor zes vnv weer hè,1
116804,'Laatste lesdag [REMOVED] [REMOVED]' bekijken op [REMOVED] - [website],0
116805,"O nee dat staat bij het tweede uur, [REMOVED]...",0
116806,Ik neem die artikelen maandag wel mee,0
116807, #dronkenopzaterdag #arbeider ,0
116808,Is altijd aanpoten maar we weten waar we het voor doen!,0
116809,Maar omdat hij zei dat het zon grote opdracht was en we daarom volgende week geen college hebben vod ik het gel,0
116810,Waar ben jij?,0
116811,Het is ju [REMOVED] ([REMOVED] bij jullie) en dit bericht wordt gewoon verstuurd als ik wifi heb :),0
116812, Stuurt marius ,0
116813,Hoelaat zijn jullie opgestapt?,0
116814,Dat eet ik wel donderdag dan want had nog niks gekocht,0
116815,woensdag [REMOVED] voorhuys?,1
116816,Waarvoor is dat?,0
116817,"Ben niet gaan zwemmen trouwens, was veel te moe.. Maar toen was het te laat om je nog te bellen",0
116818,Ja kwart voor vijf,0
116819,Hou jij dat vol op je krukken? Of zal ik beter morgen kijken als ik je heb weggebracht?,1
116820,"Nee maar even serieus, hoe laat komen jullie nu?",1
116821, Hoe laat maak jij t? ,0
116822,Prima! Heb je voldoende kunnen doen vandaag?,0
116823,Maar je hebt op vrijdagen niks daar?,0
116824,"Maar niet zeggen dat dat plekje speciaal voor hem is, dan gaat 'ie waarschijnlijk overal behalve daar liggen",0
116825,Hoe laat ben jij er?,1
116826,Waar en hoe laat? :p,0
116827,We moeten snel ff sushi gaan eten samen!!!,1
116828,Hoe laat is iets later?,0
116829,Waar ben je dan,0
116830, Iets eerder al ,1
116831,Jij hebt morgen toch [REMOVED] engels,0
116832,Ja neem de trein van kwart over,1
116833,Gister de hele dag zeiken,0
116834, Kut kabouter avond ,0
116835,Ligt er aan hoe laat we bij shabu shabu terecht kunnen,1
116836,En ik denk dat ik wel ga vanavond ben dr alleen rond half vier ,1
116837, [REMOVED] heeft gisteren waarschijnlijk iets in haar drankje gehad ,0
116838,Tot hoelaat zijn jullie er? Zijn jullie er nog?,1
116839,"[REMOVED] heeft de nacht goed doorstaan en zijn ogen gingen op commando open en dicht (maar daarna eerst niet meer terug open). Hij heeft ons wel echt aangekeken daarnet en voor ons gevoel herkende hij ons ook echt. Het lijkt alsof hij wil reageren op al die prikkels maar de inspanning kost hem veel moeite en met die buis kan hij natuurlijk ook nog niet praten. We laten hem nu weer even rusten, maar gaan zo nog naar hem toe. Vandaag krijgt hij voldoende bezoek, een collega van hem komt vanavond ook. Wij zijn echt dolgelukkig maar vinden het nog moeilijk wat we tegen hem moeten zeggen, want het is voor zo'n verder gezonde man natuurlijk erg moeilijk om gezond naar bed te gaan en hier zo wakker te worden.",0
116840,"Hoi jonathan. Ik heb een andere afspraak van kwart over elf tot kwart over elf en dan kan ik gelijk naar jou toe komen. Dus dan ben ik er ergens tussen half elf en kwart voor elf, ok?",1
116841,Hoe laat ben je uit vandaag?,0
116842,Doe ik morgenvroeg pas,0
116843,Vanavond....,0
116844,Ja is goed;) het handigste is een keer op een vrijdag,1
116845, Heb jij toevallig al m'n sleutels meegenomen? Kon m'n sleutels vanochtend niet vinden ,0
116846,Kan ik fleur morgen naar het werk brengen om zes uur?,1
116847,Waarom ben je niet hier? ,0
116848,Nou ja heb deze twee weken tentamen dus volgende week ook nog druk en moet onderzoeksvoorstel voor bachelorwerkstuk inleveren dus das Superrr spannend Mja ... We'll see,0
116849,Ja had ik ook al gezien,0
116850,Morgen pas echt colleges,0
116851,Zie jullie donderdag,1
116852,Heb je il capitale humano trouwens al gezien?,0
116853, Wat doe jij vanavond ,0
116854,*week,0
116855,Moet ik wel even kijken hoelaat die rijdt,0
116856,"Hey [REMOVED], is er een beetje parkeerplek in de buurt van jouw huis? Ik kom misschien met de auto",0
116857, Tuurlijk lief. ,0
116858,Wat doe jij vandaag?,0
116859, Ben heel druk vandaag ,0
116860," Wil wel, maar moet doorstuderen en daarna [REMOVED] naar huis brengen ",0
116861,Nee hopelijk ben ik eerder haha,0
116862,"Nooo, ze liggen hier niet meer, wat erg!als ik ze nog vindt laat ik het weten, maAR IK VREES het ergste",0
116863,Laat je weten of die saus lekker os?,0
116864,Waar is die kuttelefoon van je?,0
116865,"Hee [REMOVED],Hebben jij en [REMOVED] zin om morgenavond spelletjes te spelen met mij, [REMOVED], [REMOVED] en [REMOVED]? :)Xx",1
116866,Gisteravond,0
116867,Nee ik ga na de tijd avondeten,0
116868,Nee ik stuur ze,0
116869,"Hee , kan ik morgen bij jou mee-eten?",1
116870,Nou datumplanner is verstuurd hah,1
116871, Straks ,0
116872,.*    * .    . *    *.*          *          * * .    🌹       .*    * .          .*         * . *Stuur dit hartje naar alle mensen die je een warm hart toedraagt in [REMOVED]. Je gaat vanavond goed nieuws krijgen als je [REMOVED] hartjes terug krijgt! 😘❤❤❤,0
116873,Zou morgenaaf kunnen,1
116874,"Week van [REMOVED] oktober dus. Nou maandag kan ik de hele dag. Op dinsdag niet (van kwart voor tien tot half vier college), op woensdag heb ik van kwart voor een tot half zes: kan dus van half elf tot kwart over twaalf. Op donderdag vanaf elf uur (maar dan werk ik dus 's middags bij het ssgn normaal gesproken) en op vrijdag kan ik tot kwart over twee.",1
116875,En wanneer ga jij nou op vakantie [REMOVED]?,0
116876,"Ik dacht eerder aan een uur of [REMOVED], [REMOVED]",1
116877,"Haha ja doe maar :) we kunnen ook gewoon een uurtje ergens wat gaan drinken, maakt me niet uit ;)",1
116878,Nee achja we zien t wel,0
116879,Kun je me vertellen wat ik moet doen straks voor KKW?,0
116880,hoe laat ben je. Hier,0
116881,"[REMOVED], [REMOVED], [REMOVED] en negen uur",0
116882,Reageer ff op m'n laatste swhatt's app;),0
116883,Hoe laat spreken we af en waar? Van tevoren nog even bij iemand zitten? (ik heb nog van dat blue curaçao spul dat op mag),1
116884,En je laat die [REMOVED] vrienden nu niet in de steek als je met ons komt wonen?,0
116885,Ik moet uitkijken dat ik niet ga foeteren tijdens de vergadering,0
116886,En de maandag de [REMOVED] 's avonds? (overdag ben ik bij de Dela trophy in Den Bosch),1
116887, Donderdag gaan we heel lang geile seks hebben 😘 ,1
116888,Was donderdag dat jij en marjolein en ik rik willem.en gemma en moow naar ah gingen en toen zat ik zo bij gemma en zij helemaal zo van ik vraag me echt af wat dat vriendje van marjolein zou denken want ze is de hele tijd met mark enzo hahahah,1
116889,Vandaag naar het staatskindertehuis geweest...Vind-document in mogen zien...Niet heel cool als je adoptieverhaal iets anders is als je altijd hebt gedacht ,0
116890,"Heb een leuke tekst voor jou... Lees maar Eens zien of dit werkt. Lieve god het meisje dat dit leest is mooi, klassevol, sterk, prachtig karakter, betrouwbaar en lief.Help haar leven tot het einde en bescherm haar wanneer ze het meest nodig heeft en laat haar weten dat als ze met jou loopt dat ze altijd veilig zal zijn.Nu begint de tijd te tikken.Over negen minuten zal jou iets opvrolijken maar jij moet tegen negen dames hetzelfde zeggen met mij inclusief xxxx gewoon doen het kan zeker geen kwaad!!! xxx je bent mooi!en super lief sgatjee xx morgen zullen twee jongens zeggen; mag ik je nummer? of heb je een vriendje? verzend dit bericht naar [REMOVED] meisjes of ongeluk start voor een heel jaar. dit is niet nep. waarschijnlijk als je dit bericht kopie�rt en dit verstuurt zal je morgen de beste dag van je leven hebben. je zal ook gekust worden of uitgevraagd worden, als je deze ketting verbreekt zal je een dood meisje vanavond in je kamer zien. in [REMOVED] minuten zal iemand zeggen dat die van je houdt, het spijt me of ik wil met je uitgaan, je tijd begint nu..?❤❤",0
116891,Dus eerst [REMOVED] B dan tussenuur endab [REMOVED]?,0
116892,"Ik heb morgenavond vrij, ga ik eens zoeken",0
116893,"Hahahaha, wat willen we sowieso niet zien? Mss gaat dat makkelijker.. ;p",0
116894,"Maar ik moet mijn lichaam helaas naar een andere bestemming begeven, daarom groet ik u gedag",0
116895,Is echt duur,0
116896,"Ja, maar komt volgende week woensdag uit bij jou zegmaar? ",0
116897,Wat krijg je voor je verjaardag?,0
116898,Zeg maar hoelaat je wil,0
116899,"Maakt me niet echt uit; ik zet Marloutje af op n feestje maar die maakt t ook niet uit hoe laat en anders kon ze bij een vriendin terecht, dus zegt u het maar mevrouw ",1
116900,"[REMOVED] heeft me gisteravond nog gemaild, hij gaat naar een conferentie dus kan voorlopig niet helpen alleen via email",0
116901,Zou ook niet weten waar ik vleugeltjes vandaan zou moeten halen,0
116902,"Ja ik kan je wel halen van het station, doen we meteen even boodschappen bij de [REMOVED]",1
116903,"Hi honey!!! Ik heb je foute pakkie al gezien..:P haha!! Hoer alles goed! Fijn dat het zo leuk is daar!! En Uuhmm.. Stuur jij ""likje"" naar [REMOVED] op [REMOVED]?! Hahaha!!!! Veel plezier nog en tot snel!! Dikke kus..!💗",0
116904, Heb geen pc vandaag ,0
116905,Oke :) bedankt alvast haha! Oke! Zal ik dan water vandaag opzeggen als dat lukt?,0
116906,Structuur staat erop,0
116907,Ik ga vanavond eten in [REMOVED] denk ik en morgenmiddag samen met willemijn een middagje [REMOVED] in.,1
116908,En tot strakski wah!,1
116909, Over een uurtje ongeveer ,0
